project,input_file,fewshot_file,output_file,total_rows_original,test_rows,runs,model,temperature_setting,total_runtime_sec,avg_runtime_sec_per_request,status
appceleratorstudio,../Data/appceleratorstudio.csv,../fewshot_examples/prompt2_scale/appceleratorstudio_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/appceleratorstudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,2919,584,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.04,1.247,completed
aptanastudio,../Data/aptanastudio.csv,../fewshot_examples/prompt2_scale/aptanastudio_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/aptanastudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,829,166,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0099,1.226,completed
bamboo,../Data/bamboo.csv,../fewshot_examples/prompt2_scale/bamboo_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/bamboo_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,521,105,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0064,1.1155,completed
clover,../Data/clover.csv,../fewshot_examples/prompt2_scale/clover_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/clover_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,384,77,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0047,1.0951,completed
datamanagement,../Data/datamanagement.csv,../fewshot_examples/prompt2_scale/datamanagement_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/datamanagement_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,4667,934,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0553,1.1056,completed
duracloud,../Data/duracloud.csv,../fewshot_examples/prompt2_scale/duracloud_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/duracloud_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,666,134,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.008,1.0263,completed
jirasoftware_filtered,../Data/jirasoftware_filtered.csv,../fewshot_examples/prompt2_scale/jirasoftware_filtered_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/jirasoftware_filtered_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,284,65,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.004,1.026,completed
mesos,../Data/mesos.csv,../fewshot_examples/prompt2_scale/mesos_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mesos_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,1680,336,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.021,1.0321,completed
moodle,../Data/moodle.csv,../fewshot_examples/prompt2_scale/moodle_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/moodle_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,1166,234,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,1145.6119,0.9699,completed
mule,../Data/mule.csv,../fewshot_examples/prompt2_scale/mule_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mule_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,889,178,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0144,1.0712,completed
mulestudio,../Data/mulestudio.csv,../fewshot_examples/prompt2_scale/mulestudio_prompt2_scale_fewshot.csv,../Result/deepseek_v4_flash_prompt2_fewshot_scale_v7/mulestudio_deepseek_v4_flash_prompt2_fewshot_scale_v7.csv,732,147,5,deepseek-v4-flash,DeepSeek API default; not manually set; same for all runs; thinking disabled,0.0094,0.9876,completed
