dataset,run_index,issuekey_xi,issuekey_xj,title_xi,description_xi,title_xj,description_xj,predicted_Yi,actual_Yi,storypoint_xi,storypoint_xj,request_started_at,request_finished_at,request_runtime_seconds,raw_response
mule,5,MULE-9120,MULE-8700,Remove devkit-support module,Remove module from the Mule 4 project,Incorrect XSD generated for extension built using extension API,"Reviewing the code or extensions API implementation, found that the XSD sceham generated for the test Heinsenberg extension's killOne operation is wrong.  {code}      <xs:element xmlns=""http://www.mulesoft.org/schema/mule/heisenberg"" type=""KillOneType"" substitutionGroup=""heisenberg-empire"" name=""kill-one""></xs:element>      <xs:complexType name=""KillOneType"">          <xs:complexContent>              <xs:extension xmlns:mule=""http://www.mulesoft.org/schema/mule/core"" base=""mule:abstractMessageProcessorType"">                  <xs:sequence>                      <xs:element minOccurs=""1"" name=""kill-operation"">                          <xs:complexType>                              <xs:group xmlns=""http://www.mulesoft.org/schema/mule/heisenberg"" minOccurs=""1"" maxOccurs=""1"" ref=""heisenberg-empire-group""></xs:group>                          </xs:complexType>                      </xs:element>                  </xs:sequence>                  <xs:attribute type=""mule:substitutableName"" use=""optional"" name=""config-ref"">                      <xs:annotation>                          <xs:documentation>Specify which configuration to use for this invocation.</xs:documentation>                      </xs:annotation>                  </xs:attribute>                  <xs:attribute type=""mule:expressionString"" use=""required"" name=""reason""></xs:attribute>              </xs:extension>          </xs:complexContent>      </xs:complexType>  {code}    From that snipet, a XML like the following would be valid if checked against a schame validation tool:  {code}          <heisenberg:kill-one  reason=""I'm the one who knocks"">              <heisenberg:kill-operation>                  <heisenberg:kill-with-custom-message victim=""Gustavo Fring"" goodbyeMessage=""bye bye""/>              </heisenberg:kill-operation>              <heisenberg:kill-operation>                  <heisenberg:kill-with-custom-message victim=""Gustavo Fring"" goodbyeMessage=""bye bye""/>              </heisenberg:kill-operation>          </heisenberg:kill-one>  {code}",-1,-1,2,3,2026-05-14T20:44:39Z,2026-05-14T21:04:11Z,1172.361,"{""Decision"": -1}"
mule,5,MULE-8535,MULE-9069,Ensure that transformers use a proper return datatype,"Transformers define an output dataType which is set on the message after the transformation.  In order to properly propagate message dataType, transformers must return the proper type, mimeType and encoding that corresponds to the executed transformation.",ExecutionInterceptor causes a 50% regression in the proxy scenario.,"We found on the PerfCI test that the three proxy scenarios:  [Module|https://github.com/mulesoft/performanceworks/tree/master/APPS/PROXY-MCD/1KB/http_module_proxy], [Transport|https://github.com/mulesoft/performanceworks/tree/master/APPS/PROXY-MCD/1KB/http_transport_proxy] and [Jetty|https://github.com/mulesoft/performanceworks/tree/master/APPS/PROXY-MCD/1KB/jetty_transport_proxy]    Testing back with different builds we found that the regression was introduced between the builds 73 and 76, which relates to the dates 10/02/2015 and 10/05/2015, this reduces the list of possible changes to three commits, reading them one of them was spotted: [commit|https://github.com/mulesoft/mule/commit/3426f8762ced0f18b3193ab5384d0ea27b8f6696]    We rollbacked the change in the ce distribution and was found that this is the cause of the problem, we encourage the team to define how to fix the previous issue to not impact on performance.    Also during profilling a big contention was found tha ill attache in the logs output that may be the result of this changes regression.",-1,1,8,5,2026-05-14T20:44:39Z,2026-05-14T21:04:13Z,1174.025,"{""Decision"": -1}"
mule,5,MULE-9217,MULE-8725,Update spring schemas to 3.8,Update spring schemas to 3.8,Implememnt multitenant configuration eviction policy,When using configs multitenant with extenision API there should be a way to evict (dispose) config that are not longer used.     This is critical to avoid OOM and wasting resources for use cases where there may be hundreds or thousands config created over time.,-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:13Z,1174.39,"{""Decision"": -1}"
mule,5,MULE-8779,MULE-8834,Hostname verification not working correctly with HTTPS proxy,"When configuring the http requester with HTTPS and a proxy, hostname verification is done against the proxy instead of the real host. This makes the request fail, as the certificate doesn't contain the url of the proxy. The verification should be made against the host of the request.    This is a bug in AHC, it is fixed in AHC 1.9.27, so a possible solution to this is updating at least to this version.",Fix ext-api version in 3.x,Further development of the ext-api will continue on the Mule 4 branch and thus the version of it should be fix for 3.x,1,1,5,1,2026-05-14T20:44:39Z,2026-05-14T21:04:14Z,1174.552,"{""Decision"": 1}"
mule,5,MULE-9285,MULE-8581,Refactor ExpressionLanage and AbstractMessageTransformer to operate on MuleEvent,Refactor MEL to operate on MuleEvent and update event.message when message is mutated.,Spike on Collection splitter is not setting the group size when payload is an Iterator,"Salesforce queries return an iterator and when a collection splitter is used, it fails to aggregate the collection after because the group size is set to -1.  Attached mule config    This seems to be happening because this class https://github.com/mulesoft/mule/blob/bfb3a17263d1e4b32ee10272cbf710a2bf41b16b/core/src/main/java/org/mule/routing/outbound/IteratorMessageSequence.java is used from https://github.com/mulesoft/mule/blob/1dbf6e09a651184e9c54ec8988ecf1907cbdd58f/core/src/main/java/org/mule/util/collection/EventToMessageSequenceSplittingStrategy.java and it is setting UNKNOWN_SIZE as Group size for all Iterator payloads",1,1,8,5,2026-05-14T20:44:39Z,2026-05-14T21:04:14Z,1174.735,"{""Decision"": 1}"
mule,5,MULE-8919,MULE-9065,mule-maven-plugin CloudHub deployment does not check for file existence,"When you try to deploy a Mule application through a ZIP file, the Maven plugin does not check if the file actually exists.  If it is an unexistent file, the deployment process starts anyway and the application is created in CloudHub using the name of the given unexistent file.  The build fails because it can't deploy the application but the changes in CloudHub are already done and they're not rolled back.    The expected behavior is that the plugin checks if the file exists before making any change in CloudHub. If not, it should throw an exception and fail the build.",IndexOutOfBoundsException when header key has empty value,"When an empty header is sent to a Jetty endpoint, it fails with said exception.",1,-1,1,5,2026-05-14T20:44:39Z,2026-05-14T21:04:14Z,1175.081,"{""Decision"": 1}"
mule,5,MULE-9250,MULE-9078,Remove extensions test jars from mule distribution,"Currently, when creating the studio distributions, extensions used for testing only are being discovered inside the runtime. (Heisenberg Extension).    This jar should not be included in the distribution, or at least we should have a flag that needs to be explicitly provided for this jars to be included.",Add missing model validators,"The following ModelValidators are missing and should be added:    * Validate that all configuration models can be used with all operation models. This comes to the fact that an operation can require a connection type for which the available connection providers might be incompatible with certain configs (Moved to MULE-9214)  * Validate that no parameters, configs nor operations are named as any of the following reserved words: name, config, configRef, connection.  * Validate clashes on @ParameterGroup fields  * Move some validations currently in ImmutableParameterGroup to validators  * Validate that all connection providers have different names. Hint the user into using the @Alias annotation to customize the provider's names.",-1,-1,3,5,2026-05-14T20:44:39Z,2026-05-14T21:04:15Z,1176.125,"{""Decision"": -1}"
mule,5,MULE-9066,MULE-8676,set-property throws runtime exception if the propertyName is empty,"When using set-property, if the propertyName is empty, the schema consider it as a valid value, but every attept to use it throws a java.lang.StringIndexOutOfBoundsException. As a side effect, this also makes the request fail if the set-property is in a flow which contains an http:listener element.    The solution IMHO would be changing the mule.xsd schema and adding a minLength value to the set-property element.    How to reproduce:  - Use the following mule-config. The deployment of the app will be successful.  {code}  <?xml version=""1.0"" encoding=""UTF-8""?>  <mule xmlns:http=""http://www.mulesoft.org/schema/mule/http"" xmlns=""http://www.mulesoft.org/schema/mule/core"" xmlns:doc=""http://www.mulesoft.org/schema/mule/documentation""  	xmlns:spring=""http://www.springframework.org/schema/beans"" version=""EE-3.7.0""  	xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""  	xsi:schemaLocation=""http://www.springframework.org/schema/beans http://www.springframework.org/schema/beans/spring-beans-current.xsd  http://www.mulesoft.org/schema/mule/core http://www.mulesoft.org/schema/mule/core/current/mule.xsd  http://www.mulesoft.org/schema/mule/http http://www.mulesoft.org/schema/mule/http/current/mule-http.xsd"">      <http:listener-config name=""HTTP_Listener_Configuration"" host=""0.0.0.0"" port=""8981"" doc:name=""HTTP Listener Configuration""/>      <flow name=""set-property-errorFlow"">          <http:listener config-ref=""HTTP_Listener_Configuration"" path=""/set-property"" doc:name=""HTTP"">          </http:listener>          <set-property doc:name=""Property"" propertyName="""" value=""test""/>          <logger level=""INFO"" doc:name=""Logger""/>      </flow>  </mule>  {code}    When making a request, the config produces the following exception, and the response *never comes back*.    {code}  ERROR 2015-11-16 14:42:01,527 [[set-property-error].HTTP_Listener_Configuration.worker.01] org.mule.exception.DefaultMessagingExceptionStrategy: Caught exception in Exception Strategy: String index out of range: 0  java.lang.StringIndexOutOfBoundsException: String index out of range: 0    java.lang.String.charAt(String.java:658) ~[?:1.7.0_71]    org.glassfish.grizzly.http.HttpHeader$Builder.handleSpecialHeaderAdd(HttpHeader.java:1240) ~[grizzly-http-2.3.21.jar:2.3.21]    org.glassfish.grizzly.http.HttpHeader$Builder.header(HttpHeader.java:1134) ~[grizzly-http-2.3.21.jar:2.3.21]    org.mule.module.http.internal.listener.grizzly.BaseResponseCompletionHandler.buildHttpResponsePacket(BaseResponseCompletionHandler.java:34) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.grizzly.ResponseCompletionHandler.<init>(ResponseCompletionHandler.java:52) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.grizzly.GrizzlyRequestDispatcherFilter$1.responseReady(GrizzlyRequestDispatcherFilter.java:96) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.HttpMessageProcessorTemplate.sendResponseToClient(HttpMessageProcessorTemplate.java:99) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.execution.AsyncResponseFlowProcessingPhase.runPhase(AsyncResponseFlowProcessingPhase.java:83) ~[mule-core-3.7.0.jar:3.7.0]    org.mule.execution.AsyncResponseFlowProcessingPhase.runPhase(AsyncResponseFlowProcessingPhase.java:38) ~[mule-core-3.7.0.jar:3.7.0]    org.mule.execution.PhaseExecutionEngine$InternalPhaseExecutionEngine.phaseSuccessfully(PhaseExecutionEngine.java:65) ~[mule-core-3.7.0.jar:3.7.0]    org.mule.execution.PhaseExecutionEngine$InternalPhaseExecutionEngine.phaseSuccessfully(PhaseExecutionEngine.java:69) ~[mule-core-3.7.0.jar:3.7.0]    com.mulesoft.mule.throttling.ThrottlingPhase.runPhase(ThrottlingPhase.java:185) ~[mule-module-throttling-ee-3.7.0.jar:3.7.0]    com.mulesoft.mule.throttling.ThrottlingPhase.runPhase(ThrottlingPhase.java:1) ~[mule-module-throttling-ee-3.7.0.jar:3.7.0]    org.mule.execution.PhaseExecutionEngine$InternalPhaseExecutionEngine.process(PhaseExecutionEngine.java:114) ~[mule-core-3.7.0.jar:3.7.0]    org.mule.execution.PhaseExecutionEngine.process(PhaseExecutionEngine.java:41) ~[mule-core-3.7.0.jar:3.7.0]    org.mule.execution.MuleMessageProcessingManager.processMessage(MuleMessageProcessingManager.java:32) ~[mule-core-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.DefaultHttpListener$1.handleRequest(DefaultHttpListener.java:126) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.grizzly.GrizzlyRequestDispatcherFilter.handleRead(GrizzlyRequestDispatcherFilter.java:83) ~[mule-module-http-3.7.0.jar:3.7.0]    org.glassfish.grizzly.filterchain.ExecutorResolver$9.execute(ExecutorResolver.java:119) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.filterchain.DefaultFilterChain.executeFilter(DefaultFilterChain.java:283) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.filterchain.DefaultFilterChain.executeChainPart(DefaultFilterChain.java:200) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.filterchain.DefaultFilterChain.execute(DefaultFilterChain.java:132) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.filterchain.DefaultFilterChain.process(DefaultFilterChain.java:111) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.ProcessorExecutor.execute(ProcessorExecutor.java:77) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.nio.transport.TCPNIOTransport.fireIOEvent(TCPNIOTransport.java:536) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.glassfish.grizzly.strategies.AbstractIOStrategy.fireIOEvent(AbstractIOStrategy.java:112) ~[grizzly-framework-2.3.21.jar:2.3.21]    org.mule.module.http.internal.listener.grizzly.ExecutorPerServerAddressIOStrategy.run0(ExecutorPerServerAddressIOStrategy.java:102) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.grizzly.ExecutorPerServerAddressIOStrategy.access$100(ExecutorPerServerAddressIOStrategy.java:30) ~[mule-module-http-3.7.0.jar:3.7.0]    org.mule.module.http.internal.listener.grizzly.ExecutorPerServerAddressIOStrategy$WorkerThreadRunnable.run(ExecutorPerServerAddressIOStrategy.java:125) ~[mule-module-http-3.7.0.jar:3.7.0]    java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1145) [?:1.7.0_71]    java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:615) [?:1.7.0_71]    java.lang.Thread.run(Thread.java:745) [?:1.7.0_71]  {code}",HTTP listener should ignore 'Transfer-Encoding' property as it is a hop-by-hop header,"Transfer-Encoding is a hop-by-hop header and therefore shouldn't really be used by HTTP listener if there is a ""transfer-encoding"" property present in the outbound property scope to determine response streaming behaviour.    Generally current behaviour is fine, but there is one case that is currently incorrect IMO.    * We shouldn't stream a String payload when the ""transfer-encoding"" outbound message property is present.  * We shouldn't stream a String payload when the ""transfer-encoding"" and ""content-length"" outbound message properties are both present.  * Aso, While I think it is probably correct that  a String payload should be streamed when a ""transfer-encoding"" header is configured and streaming mode is 'AUTO'.  This is not the way the user should be enabling streaming and I suggest we log an INFO message whenever a transfer-encoding header is set suggesting the user uses the responseStreamingMode attribute instead.    Failing test that show this can be found in this branch: https://github.com/mulesoft/mule/compare/MULE-8676    *AUTO Behaviour appears to be inconsistent with HTTP requestor because the presence of both transfer-encoding/content-length headers results in no streaming with requestor, but streaming with listener*",-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:16Z,1176.534,"{""Decision"": -1}"
mule,5,MULE-8528,MULE-8821,When custom validator fails doesn't throw exception,When using this custom validator:    {code}      public static class FailingCustomValidator implements Validator      {            @Override          public ValidationResult validate(MuleEvent event)          {              return ImmutableValidationResult.error(TEST_MESSAGE);          }      }  {code}    flow execution goes on and now exception is thrown.,Concurrent calls to the OAuth2 authorize MessageProcessor fail when passing different values for accessTokenUrl,"When the authorize MessageProcessor is invoked by 2 different users at the same time and each of those invocations is done with a different value for the accessTokenUrl, the access token request for one of them is made to the wrong url.    I am using the salesforce connector v6.2.1 and this is how my authorize call looks like:    <sfdc:authorize       display=""#[flowVars['display']]""       authorizationUrl=""#[flowVars['salesForceUrl'] + '/authorize']""       accessTokenUrl=""#[flowVars['salesForceUrl'] + '/token']""       config-ref=""sfdcConnectorConfig""       state=""#[payload]""       accessTokenId=""#[flowVars['remoteUserId']]"" />    The flowVar salesforceUrl can take 2 possible values, which are:  https://login.salesforce.com (Salesforce Production)  https://test.salesforce.com (Salesforce Sandbox)    When a user does the OAuth dance to login.salesforce.com at the same time another user does the OAuth dance to test.salesforce.com, one of the dances fail.    ------------------------------------------------------------------------------------------    I believe the problem can be found in the way the accessTokenUrl is retrieved and saved by these 2 processors (in mule-devkit-support):  - org.mule.security.oauth.processor.BaseOAuth2AuthorizeMessageProcessor<T>  - org.mule.security.oauth.processor.OAuth2FetchAccessTokenMessageProcessor    The BaseOAuth2AuthorizeMessageProcessor<T> (line 81) saves the accessTokenUrl value in the defaultUnauthorizedConnector object of the OAuth2Manager.  The OAuth2FetchAccessTokenMessageProcessor (line 57) obtains an OAuth2Adapter (used to fetch the access token) from the OAuth2Manager. The OAuth2Manager creates the adapter setting the accessTokenUrl (line 256 BaseOAuth2Manager<T>) with the value taken from the defaultUnauthorizedConnector object.    https://github.com/mulesoft/mule/blob/mule-3.5.2/modules/devkit-support/src/main/java/org/mule/security/oauth/processor/BaseOAuth2AuthorizeMessageProcessor.java#L81    https://github.com/mulesoft/mule/blob/mule-3.5.2/modules/devkit-support/src/main/java/org/mule/security/oauth/processor/OAuth2FetchAccessTokenMessageProcessor.java#L57    https://github.com/mulesoft/mule/blob/mule-3.5.2/modules/devkit-support/src/main/java/org/mule/security/oauth/BaseOAuth2Manager.java#L256    The defaultUnauthorizedConnector of the OAuth2Manager is common to all events and threads. I believe that when 2 users are doing the oauth dance at the same time the accessTokenUrl value of the defaultUnauthorizedConnector is being overwritten by the second user before the first is able to fetch the access token.",-1,-1,1,8,2026-05-14T20:44:39Z,2026-05-14T21:04:16Z,1176.65,"{""Decision"": -1}"
mule,5,MULE-8753,MULE-8502,Give the Extension model the concept of vendor,Currently Extension instances are matched by its getName() method. They should also include the concept of vendor and be used for matching purposes as well.,Remove log4j2 error message when building,"When running the Maven build from source, the following error message is thrown, even when the build finishes successfully.    {quote}  [INFO] --- maven-processor-plugin:2.2.4:process (process) @ mule-extension-validation ---  ERROR StatusLogger No log4j2 configuration file found. Using default configuration: logging only errors to the console.  {quote}",1,1,5,1,2026-05-14T20:44:39Z,2026-05-14T21:04:16Z,1176.654,"{""Decision"": 1}"
