dataset,run_index,issuekey_xi,issuekey_xj,title_xi,description_xi,title_xj,description_xj,predicted_Yi,actual_Yi,storypoint_xi,storypoint_xj,request_started_at,request_finished_at,request_runtime_seconds,raw_response
duracloud,5,DURACLOUD-1042,DURACLOUD-1009,Add CORS headers to Elastic Beanstalk config,We need to perform the same config on 4.x that we did on 3.x,upgrade spring security in snapshot,,-1,-1,1,2,2026-05-14T20:44:39Z,2026-05-14T20:58:30Z,830.875,"{""Decision"": -1}"
duracloud,5,DURACLOUD-886,DURACLOUD-887,Restricted Streaming,"- DuraCloud would continue to use CloudFront to stream files, but would add an option to limit access to streamed content. There would be two options when setting a space to be streamed: open streaming (which is how we do streaming now) and restricted streaming.(the new feature). - When using restricted streaming, no files would be directly accessible. Instead, to expose a file, a new DuraCloud REST method would be provided which could be called to retrieve a signed URL that could then be used to stream the file. - The new REST call would require providing the username and password of a DuraCloud user with administrative rights. - The new REST call would require an ending date and time parameter, after which the returned URL is no longer valid. - The new REST call would allow for providing an optional parameter indicating the IP address or range of addresses that can be used to access the content.  The consumer of this service (UNC in this case) will be responsible for: - Verifying that a user of their system should have access to the content that is to be streamed - Making the call to DuraCloud (with appropriate DuraCloud permissions) to request and retrieve the signed URL - Inserting the URL into an RTMP player (e.g. Flowplayer, JWPlayer, etc) which will allow the user to view the content",User IP limits,"- DuraCloud would add a new user attribute which defines an IP address or range (using CIDR notation) - Once this attribute for a user is filled out, all future attempts to log in as that user (both in DuraCloud instances and the Management Console) would require that the user be coming from that IP address or range. - Users would be able to update this attribute in the Management Console. - Note: This feature would need to support multiple IP address/range entries, as there could be 2 or 3 specific IPs where the user needs to be able to log in from.",1,1,8,3,2026-05-14T20:44:39Z,2026-05-14T20:58:31Z,831.751,"{""Decision"": 1}"
duracloud,5,DURACLOUD-898,DURACLOUD-1006,Spaces no longer loading in Firefox 33.0+ in duradmin,After upgrading to Firefox 33.0 spaces are not longer loading.,Investigate automate deployment to beanstalk,"As a first step, it would be very helpful if commits to development version were automatically deployed to a test beanstalk environment.  Additionally it would be good if integration tests were run as part of that process.    NB: Since dependencies such as duracloud-db have *-SNAPSHOT versions while each duracloud instance is in development,  it would be good if duracloud-db commits also trigger a rebuild of duracloud and management-console.",-1,-1,1,4,2026-05-14T20:44:39Z,2026-05-14T20:58:31Z,832.295,"{""Decision"": -1}"
duracloud,5,DURACLOUD-1005,DURACLOUD-1018,MC:  global properties form does not give useful feedback when data is invalid,,Management Console: Deleting a user from an account is failing,HTTP Status 403 - Invalid CSRF Token 'null' was found on the request parameter '_csrf' or header 'X-CSRF-TOKEN'.    Probably is due to the fact that  CSRF tokens are on by default in the new spring security.,-1,-1,1,2,2026-05-14T20:44:39Z,2026-05-14T20:58:32Z,832.804,"{""Decision"": -1}"
duracloud,5,DURACLOUD-917,DURACLOUD-884,Storage report display values are inconsistent,"The storage report charts in the DurAdmin display do not show consistent values between the line chart (historical size) and the pie charts. This inconsistency is because one of the two uses GiB (Gibibytes) and the other uses GB (Gigabytes). A GiB is 1024^3 bytes, while a GB is 1000^3 bytes.    This issue should be resolved by updating the storage reports to make use of GB rather than GiB. This will provide greater consistency.    Note that this is also an issue reported in DURACHRON-79, where the inconsistency is between the storage reports and the snapshot.",Better handling for content files added with an incorrect checksum,"Currently when a content item is added to a storage provider via a PUT content REST call, if the checksum included with that content item does not match the checksum computed by the provider, a 500 response is generated, and the file itself remains on the storage provider.  This task is to: 1. Ensure that if content fails the checksum check, it is either not added to or is removed from the space. 2. Return a response with an error code and body text that better describes the issue.",-1,-1,1,3,2026-05-14T20:44:39Z,2026-05-14T20:58:32Z,833.075,"{""Decision"": -1}"
duracloud,5,DURACLOUD-980,DURACLOUD-930,OpenstackProvider marker and prefix params are not url encoded on space listing calls,This problem applies to both get spaces and get spaces chunked calls.  It appears that this problem was addresses for get content calls.  So the OpenStackStorageProvider performs a url encode as well as some other encoding magic to get things to work properly.   These issues were identified for  jclouds 1.8.0 (the version we're using) in this jira: https://issues.apache.org/jira/browse/JCLOUDS-217 .  According to the issue details it was resolved in jclouds 2.0.0.   Short term solution is to apply the fix to the OpenStackStorageProvider.  I believe the longer term fix is to upgrade to jclouds 2.0.0.  That later fix will likely be somewhat involved since there were major api changes between 1.x and 2.x.,Turning off space streaming clears space permissions,"On a space with streaming enabled, setting streaming to off (via the UI) will cause the bucket property which maintains space permissions to be removed. This effectively deletes all space permissions (making the space and the contents of the space unavailable to anyone beyond administrators).     Note that this clearing of permissions is not immediately reflected in the UI, as the permissions set is cached.",-1,1,2,1,2026-05-14T20:44:39Z,2026-05-14T20:58:32Z,833.081,"{""Decision"": -1}"
duracloud,5,DURACLOUD-1050,DURACLOUD-1019,Update Duplication Monitor to work with DuraCloud 4.x,1. Remove obsolete dependencies on database  2. Retrieve space counts from storage stats rather than making a content item count by means of looping through all the content ids.  3. Ensure monitor username and password is encrypted,Management console: Logout link results in 404,,1,1,3,1,2026-05-14T20:44:39Z,2026-05-14T20:58:32Z,833.298,"{""Decision"": 1}"
duracloud,5,DURACLOUD-866,DURACLOUD-863,Set up local logging to capture read and write storage actions,The AuditStorageProvider already captures read and write events. This work is to have that information written out to local log files,Remove ActiveMQ,This work is to remove the use of ActiveMQ in DuraCloud. Storage events should be now captured by the AuditStorageProvider.,-1,-1,1,2,2026-05-14T20:44:39Z,2026-05-14T20:58:33Z,833.919,"{""Decision"": -1}"
duracloud,5,DURACLOUD-987,DURACLOUD-1004,Mill:  Handle corner case of missing storage provider,Currently the looping task producers  will enter an infinite loop if a storage provider is missing.  It should retry a few times.  If it continues to fail it should send and an email and move on.,Remove duracloud user and password from GlobalProperties in Management Console,,1,1,2,1,2026-05-14T20:44:39Z,2026-05-14T20:58:33Z,834.161,"{""Decision"": 1}"
duracloud,5,DURACLOUD-974,DURACLOUD-924,Finish storage report conversion:  relative space byte and item count sizes.,For beanstalk version implement storage stats pie chart view of space size and space item count as of x day to match what is currently available in duracloud 3.6.0.,Instance not initialized call should return something other than a 503,Each of the DuraCloud apps currently responds to a /init REST call with either a 200 if the app is initialized and ready for use or a 503 if the app is available but not yet initialized.    This task is to update this to change the 503 to another code. The reason is that Apache also returns 503 responses as a DuraCloud instance is starting when it is not yet able to make a connection to Tomcat. This results in the Management Console thinking that an instance is ready to be initialized when  it is not yet available.    Note that this change will require a companion change in the MC to ensure that the correct HTTP code is expected on init.,1,1,3,1,2026-05-14T20:44:39Z,2026-05-14T20:58:34Z,834.953,"{""Decision"": 1}"
